"","occupied","vacancy","persons"
"90","Holes in floors","Replicate Weight #27","Replicate Weight #24"
"91","Broken plaster/peeling paint","Replicate Weight #28","Replicate Weight #25"
"92","Plaster/paint> 8.5 x 11","Replicate Weight #29","Replicate Weight #26"
"93","Water leakage","Replicate Weight #30","Replicate Weight #27"
"94","Respondent rating of structures in neighborhood","Replicate Weight #31","Replicate Weight #28"
"95","Number of Adults with a cell phone","Replicate Weight #32","Replicate Weight #29"
"96","Land-line Telephone in House","Replicate Weight #33","Replicate Weight #30"
"97","General Health (respondent)","Replicate Weight #34","Replicate Weight #31"
"98","Medical device in home","Replicate Weight #35","Replicate Weight #32"
"99","Dental","Replicate Weight #36","Replicate Weight #33"
"100","Preventative care/check-up","Replicate Weight #37","Replicate Weight #34"
"101","Mental health","Replicate Weight #38","Replicate Weight #35"
"102","Treatment or diagnosis of illness","Replicate Weight #39","Replicate Weight #36"
"103","Prescription drugs","Replicate Weight #40","Replicate Weight #37"
"104","One or more utility","Replicate Weight #41","Replicate Weight #38"
"105","Landline telephone","Replicate Weight #42","Replicate Weight #39"
"106","Cell phone","Replicate Weight #43","Replicate Weight #40"
"107","Cable/internet","Replicate Weight #44","Replicate Weight #41"
"108","Other","Replicate Weight #45","Replicate Weight #42"
"109","Affordable","Replicate Weight #46","Replicate Weight #43"
"110","Too expensive given its condition","Replicate Weight #47","Replicate Weight #44"
"111","Too expensive given its location","Replicate Weight #48","Replicate Weight #45"
"112","Moved to the US as immigrant","Replicate Weight #49","Replicate Weight #46"
"113","Year moved to US as immigrant","Replicate Weight #50","Replicate Weight #47"
"114","Year moved to NYC","Replicate Weight #51","Replicate Weight #48"
"115","New control status recode","Replicate Weight #52","Replicate Weight #49"
"116","Structure class recode","Replicate Weight #53","Replicate Weight #50"
"117","Type of schedule code","Replicate Weight #54","Replicate Weight #51"
"118","Year built recode","Replicate Weight #55","Replicate Weight #52"
"119","Condition of unit recode","Replicate Weight #56","Replicate Weight #53"
"120","Respondent line number","Replicate Weight #57","Replicate Weight #54"
"121","Household composition recode","Replicate Weight #58","Replicate Weight #55"
"122","Presence of nonrelatives","Replicate Weight #59","Replicate Weight #56"
"123","Race and Ethnicity of householder","Replicate Weight #60","Replicate Weight #57"
"124","Race Recode 1","Replicate Weight #61","Replicate Weight #58"
"125","Monthly owner cost recode","Replicate Weight #62","Replicate Weight #59"
"126","Number of 1987 maintenance deficiencies","Replicate Weight #63","Replicate Weight #60"
"127","Number of 2017 maintenance deficiencies","Replicate Weight #64","Replicate Weight #61"
"128","Total persons recode","Replicate Weight #65","Replicate Weight #62"
"129","Persons per room","Replicate Weight #66","Replicate Weight #63"
"130","Monthly gross rent","Replicate Weight #67","Replicate Weight #64"
"131","Monthly gross rent per room recode","Replicate Weight #68","Replicate Weight #65"
"132","Monthly contract rent per room recode","Replicate Weight #69","Replicate Weight #66"
"133","Household below poverty","Replicate Weight #70","Replicate Weight #67"
"134","Household income recode","Replicate Weight #71","Replicate Weight #68"
"135","Household income flag","Replicate Weight #72","Replicate Weight #69"
"136","Salary","Replicate Weight #73","Replicate Weight #70"
"137","Salary flag","Replicate Weight #74","Replicate Weight #71"
"138","Business income","Replicate Weight #75","Replicate Weight #72"
"139","Business income flag","Replicate Weight #76","Replicate Weight #73"
"140","Interest income","Replicate Weight #77","Replicate Weight #74"
"141","Interest income flag","Replicate Weight #78","Replicate Weight #75"
"142","Retirement income (1)","Replicate Weight #79","Replicate Weight #76"
"143","Retirement income (1) flag","Replicate Weight #80","Replicate Weight #77"
"144","Government income",NA,"Replicate Weight #78"
"145","Government income flag",NA,"Replicate Weight #79"
"146","Retirement income (2)",NA,"Replicate Weight #80"
"147","Retirement income (2) flag",NA,NA
"148","Other income",NA,NA
"149","Other income flag",NA,NA
"150","Sub-borough area",NA,NA
"151","Gross rent/income ratio",NA,NA
"152","Contract rent/income ratio",NA,NA
"153","Household members under 6",NA,NA
"154","Household members under 18",NA,NA
"155","Household weight",NA,NA
"156","Final household weight",NA,NA
"157","Sequence number",NA,NA
"158","Sex of householder",NA,NA
"159","Age of householder",NA,NA
"160","Hispanic Origin",NA,NA
"161","Race of householder",NA,NA
"162","Year moved in flag",NA,NA
"163","Year acquired flag",NA,NA
"164","Value flag",NA,NA
"165","Stories in building flag",NA,NA
"166","Rooms/Bedrooms flag",NA,NA
"167","Plumbing facilities flag",NA,NA
"168","Kitchen facilities flag",NA,NA
"169","Type of heating fuel flag",NA,NA
"170","Electricity cost flag",NA,NA
"171","Gas cost flag",NA,NA
"172","Combined gas/electricity cost flag",NA,NA
"173","Water and sewer cost flag",NA,NA
"174","Other fuels cost flag",NA,NA
"175","Contract rent flag",NA,NA
"176","Rental assistance flag",NA,NA
"177","Household income flag",NA,NA
"178","Salary income flag",NA,NA
"179","Business income flag",NA,NA
"180","Interest income flag",NA,NA
"181","Retirement income(1) flag",NA,NA
"182","Government income flag",NA,NA
"183","Retirement income(2) flag",NA,NA
"184","Other income flag",NA,NA
"185","30% HUD Income Limits",NA,NA
"186","50% HUD Income Limits",NA,NA
"187","80% HUD Income Limits",NA,NA
"188","Replicate Weight #1",NA,NA
"189","Replicate Weight #2",NA,NA
"190","Replicate Weight #3",NA,NA
"191","Replicate Weight #4",NA,NA
"192","Replicate Weight #5",NA,NA
"193","Replicate Weight #6",NA,NA
"194","Replicate Weight #7",NA,NA
"195","Replicate Weight #8",NA,NA
"196","Replicate Weight #9",NA,NA
"197","Replicate Weight #10",NA,NA
"198","Replicate Weight #11",NA,NA
"199","Replicate Weight #12",NA,NA
"200","Replicate Weight #13",NA,NA
"201","Replicate Weight #14",NA,NA
"202","Replicate Weight #15",NA,NA
"203","Replicate Weight #16",NA,NA
"204","Replicate Weight #17",NA,NA
"205","Replicate Weight #18",NA,NA
"206","Replicate Weight #19",NA,NA
"207","Replicate Weight #20",NA,NA
"208","Replicate Weight #21",NA,NA
"209","Replicate Weight #22",NA,NA
"210","Replicate Weight #23",NA,NA
"211","Replicate Weight #24",NA,NA
"212","Replicate Weight #25",NA,NA
"213","Replicate Weight #26",NA,NA
"214","Replicate Weight #27",NA,NA
"215","Replicate Weight #28",NA,NA
"216","Replicate Weight #29",NA,NA
"217","Replicate Weight #30",NA,NA
"218","Replicate Weight #31",NA,NA
"219","Replicate Weight #32",NA,NA
"220","Replicate Weight #33",NA,NA
"221","Replicate Weight #34",NA,NA
"222","Replicate Weight #35",NA,NA
"223","Replicate Weight #36",NA,NA
"224","Replicate Weight #37",NA,NA
"225","Replicate Weight #38",NA,NA
"226","Replicate Weight #39",NA,NA
"227","Replicate Weight #40",NA,NA
"228","Replicate Weight #41",NA,NA
"229","Replicate Weight #42",NA,NA
"230","Replicate Weight #43",NA,NA
"231","Replicate Weight #44",NA,NA
"232","Replicate Weight #45",NA,NA
"233","Replicate Weight #46",NA,NA
"234","Replicate Weight #47",NA,NA
"235","Replicate Weight #48",NA,NA
"236","Replicate Weight #49",NA,NA
"237","Replicate Weight #50",NA,NA
"238","Replicate Weight #51",NA,NA
"239","Replicate Weight #52",NA,NA
"240","Replicate Weight #53",NA,NA
"241","Replicate Weight #54",NA,NA
"242","Replicate Weight #55",NA,NA
"243","Replicate Weight #56",NA,NA
"244","Replicate Weight #57",NA,NA
"245","Replicate Weight #58",NA,NA
"246","Replicate Weight #59",NA,NA
"247","Replicate Weight #60",NA,NA
"248","Replicate Weight #61",NA,NA
"249","Replicate Weight #62",NA,NA
"250","Replicate Weight #63",NA,NA
"251","Replicate Weight #64",NA,NA
"252","Replicate Weight #65",NA,NA
"253","Replicate Weight #66",NA,NA
"254","Replicate Weight #67",NA,NA
"255","Replicate Weight #68",NA,NA
"256","Replicate Weight #69",NA,NA
"257","Replicate Weight #70",NA,NA
"258","Replicate Weight #71",NA,NA
"259","Replicate Weight #72",NA,NA
"260","Replicate Weight #73",NA,NA
"261","Replicate Weight #74",NA,NA
"262","Replicate Weight #75",NA,NA
"263","Replicate Weight #76",NA,NA
"264","Replicate Weight #77",NA,NA
"265","Replicate Weight #78",NA,NA
"266","Replicate Weight #79",NA,NA
"267","Replicate Weight #80",NA,NA
